HR0,HR1,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR2,HR20,HR21,HR22,HR24,HR25,HR26,HR27,HR28,HR29,HR3,HR4,HR5,HR6,HR7,HR8,HR9,NormativeModel_fitness,label
4,4,0,0,9,0,4,0,0,4,0,9,4,9,14,9,9,0,0,0,0,14,9,9,4,0,9,0,9,0.31818181818181823,Anomalous_0
4,4,4,0,4,9,4,0,0,4,0,4,4,29,4,0,14,0,4,0,0,4,9,0,4,0,4,0,4,0.2702702702702703,Anomalous_1
9,0,9,4,4,9,4,4,0,4,14,4,4,4,9,4,9,0,14,0,4,9,4,0,4,0,4,4,4,0.19512195121951215,Anomalous_10
14,24,4,0,4,4,4,4,0,4,0,4,4,0,4,4,9,0,4,0,9,4,4,4,0,4,9,4,4,0.22499999999999998,Anomalous_100
9,0,0,4,9,4,9,4,0,4,4,0,0,0,4,4,0,0,4,0,4,0,9,0,4,0,4,9,4,0.42105263157894735,Anomalous_101
4,4,4,0,9,9,4,0,0,4,0,4,4,4,4,4,4,0,4,0,4,0,4,0,4,0,4,4,9,0.25806451612903225,Anomalous_102
0,0,4,0,4,4,4,4,4,4,4,9,9,4,0,4,4,0,0,0,4,0,4,14,0,0,4,4,9,0.3513513513513513,Anomalous_103
14,4,4,0,9,4,9,4,4,4,0,0,4,4,9,14,4,0,9,0,4,0,4,4,4,0,4,4,4,0.16666666666666663,Anomalous_104
4,9,4,4,9,4,14,0,0,4,0,4,4,4,4,4,4,0,14,0,4,0,4,0,4,0,4,4,4,0.22857142857142854,Anomalous_105
9,4,0,9,4,4,4,4,0,9,0,14,0,4,4,4,4,9,4,0,4,4,4,4,4,4,4,4,9,0.24390243902439024,Anomalous_106
9,4,0,9,4,4,4,4,0,9,0,14,0,4,4,4,4,9,4,0,4,4,4,4,4,4,4,4,9,0.24390243902439024,Anomalous_107
0,9,4,0,14,0,4,4,0,0,0,0,0,0,4,0,4,4,4,0,0,0,0,14,0,0,0,0,0,0.6590909090909092,Anomalous_108
0,9,0,0,9,4,4,4,0,0,0,14,9,4,9,4,4,0,4,4,4,0,14,4,4,4,4,4,4,0.2564102564102564,Anomalous_109
4,9,0,0,0,4,4,9,0,4,0,9,4,4,4,4,9,0,4,0,4,4,4,0,4,4,4,0,4,0.25,Anomalous_11
4,4,4,0,4,14,4,4,0,4,0,4,0,9,4,9,0,4,4,4,0,4,9,4,4,4,0,9,4,0.26315789473684215,Anomalous_110
