t11,t21,t35,t41,t51,t61,t71,t81,t91,t32,t26,t36,t62,t54,t66,t75,t82,t31,t44,t65,t76,t74,t64,t53,t43,t34,t24,t73,t63,t52,t42,t33,t23,t72,t25,t22,label
5,4,3,4,4,2,4,4,6,2,2,1,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_0
5,1,0,5,5,2,5,6,5,3,3,3,2,3,1,0,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_1
0,5,2,5,5,4,4,0,0,3,3,3,5,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_10
5,5,1,5,7,2,7,4,5,2,5,4,4,7,2,0,3,3,5,4,6,3,3,3,2,2,2,3,3,3,1,1,1,0,0,0,Anomalous_100
5,7,7,9,9,1,9,5,5,4,6,2,13,6,4,2,5,0,0,2,0,1,1,1,1,1,1,4,4,0,8,4,4,0,0,0,Anomalous_101
2,4,3,5,8,5,8,2,2,2,7,3,6,8,5,0,2,3,4,3,5,3,3,3,2,2,2,5,5,5,2,2,2,0,0,0,Anomalous_102
5,2,2,4,5,1,5,5,5,5,5,2,4,6,3,0,5,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_103
5,3,2,5,5,2,5,5,5,3,6,2,1,5,0,0,5,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_104
0,6,7,6,9,6,9,0,0,1,8,7,13,11,6,11,0,0,0,5,0,6,6,0,0,4,4,4,4,0,0,1,1,0,0,0,Anomalous_105
5,1,5,9,6,0,6,5,5,5,7,2,11,11,6,4,6,0,0,5,0,6,6,6,2,2,2,1,1,0,4,4,4,0,0,0,Anomalous_106
0,3,0,4,3,1,3,0,0,1,4,4,2,4,1,0,0,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_107
5,2,1,2,2,2,2,2,4,1,3,2,0,3,3,0,3,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_108
0,3,6,5,5,0,5,0,0,1,6,3,9,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_109
5,5,2,5,5,5,5,5,5,3,5,5,5,5,1,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_11
5,2,3,2,1,1,1,1,5,0,8,6,0,6,2,0,4,1,9,4,6,2,2,2,5,5,5,0,0,0,1,1,1,0,0,0,Anomalous_110
5,5,4,5,5,3,5,5,5,3,5,3,6,5,3,4,5,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_111
0,5,4,5,5,2,5,0,0,4,5,2,9,5,3,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_112
5,5,3,5,5,4,5,5,5,5,5,2,1,5,2,0,5,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_113
0,2,3,5,5,0,5,0,0,3,5,3,9,4,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_114
0,4,3,5,5,2,5,0,0,3,5,1,3,5,5,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_115
5,3,2,3,3,1,3,3,5,1,5,5,7,5,1,6,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_116
5,5,3,5,5,5,5,5,5,3,5,2,1,5,3,0,5,3,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_117
5,5,3,5,5,0,4,5,5,2,5,3,5,5,3,1,5,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_118
0,3,0,4,3,1,3,0,0,1,4,4,2,4,1,0,0,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_119
0,4,2,5,5,1,4,0,0,2,5,1,3,5,2,0,0,3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_12
5,0,3,3,3,0,3,3,6,1,4,1,5,4,3,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_120
4,2,4,2,2,2,2,2,5,0,5,3,5,5,3,5,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_121
4,3,1,5,5,1,5,4,4,3,4,3,7,5,0,2,4,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_122
5,5,3,6,5,1,5,5,5,2,5,2,4,6,3,0,5,3,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_123
5,0,4,3,3,1,3,3,5,0,3,1,5,3,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_124
0,11,6,11,12,5,12,0,0,5,14,8,7,13,8,0,0,6,15,5,13,8,8,0,0,9,9,7,8,0,0,6,6,0,0,0,Anomalous_125
5,5,7,6,5,1,5,5,4,3,5,0,9,5,2,5,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_126
0,4,4,4,4,2,4,0,0,2,3,1,6,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_127
5,5,3,10,14,4,14,4,5,5,10,3,4,5,3,0,5,5,9,2,2,0,0,0,4,4,4,8,9,9,5,5,5,0,0,0,Anomalous_128
0,5,4,8,9,4,9,0,0,4,9,0,2,9,6,0,0,4,9,3,5,4,4,0,0,4,4,4,4,0,0,3,3,0,0,0,Anomalous_129
5,5,5,5,5,3,5,5,5,4,4,0,6,4,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_13
0,3,1,5,5,2,5,0,0,2,5,3,2,4,1,0,0,3,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_130
0,11,13,11,12,7,12,0,0,6,15,7,20,11,2,11,0,0,0,9,0,6,6,0,0,11,10,7,7,0,0,6,6,0,0,0,Anomalous_131
5,5,6,5,5,3,5,5,5,2,5,3,7,5,1,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_132
4,3,1,5,5,2,5,5,5,3,5,1,0,5,3,0,5,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_133
7,8,5,8,16,6,16,5,5,2,9,4,10,10,4,0,5,6,9,6,10,5,5,5,4,4,4,11,11,11,3,3,2,0,0,0,Anomalous_134
5,5,5,5,5,2,5,4,5,2,5,3,9,5,1,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_135
0,8,5,9,6,3,6,0,0,6,4,4,8,9,4,9,0,0,0,5,0,4,4,0,0,0,0,1,1,0,0,4,4,0,0,0,Anomalous_136
5,5,1,5,5,1,5,5,5,2,5,4,3,5,3,0,5,3,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_137
0,2,5,6,7,2,7,0,0,5,11,4,1,16,7,0,0,1,10,10,10,12,12,0,0,6,6,2,2,0,0,1,1,0,0,0,Anomalous_138
0,1,3,1,1,1,1,0,0,1,4,1,0,4,3,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_139
5,3,2,5,5,2,5,5,5,3,6,2,1,5,0,0,5,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_14
0,4,1,5,5,3,5,0,0,1,5,3,2,5,3,0,0,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_140
0,5,4,8,9,4,9,0,0,4,9,0,2,9,6,0,0,4,9,3,5,4,4,0,0,4,4,4,4,0,0,3,3,0,0,0,Anomalous_141
5,8,1,7,13,2,13,5,5,4,8,1,10,15,6,0,5,4,8,9,10,10,10,9,3,3,3,8,8,8,3,3,3,0,0,0,Anomalous_142
0,5,4,5,5,3,5,0,0,2,5,4,7,6,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_143
0,11,13,11,12,7,12,0,0,6,15,7,20,11,2,11,0,0,0,9,0,6,6,0,0,11,10,7,7,0,0,6,6,0,0,0,Anomalous_144
5,0,4,3,3,1,3,3,5,0,3,1,5,3,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_145
0,5,5,6,8,4,8,0,0,4,8,4,10,9,4,5,0,0,0,5,0,4,4,0,0,3,3,3,3,0,0,1,1,0,0,0,Anomalous_146
5,9,5,10,10,5,11,5,5,5,9,4,7,7,3,0,5,4,9,4,7,2,2,2,4,4,4,6,7,6,4,4,4,0,0,0,Anomalous_147
5,5,17,8,9,6,9,5,5,0,19,3,20,22,13,10,5,0,0,10,0,17,17,15,14,14,14,4,4,0,7,4,3,0,0,0,Anomalous_148
0,3,3,2,2,0,2,0,0,1,3,2,5,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_149
5,5,4,5,5,3,5,5,5,3,5,3,6,5,3,4,5,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_15
0,2,2,2,2,0,2,0,0,2,3,0,3,3,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_150
0,3,1,5,6,1,5,0,0,5,4,1,4,5,3,0,0,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_151
0,5,5,6,8,4,8,0,0,4,8,4,10,9,4,5,0,0,0,5,0,4,4,0,0,3,3,3,3,0,0,1,1,0,0,0,Anomalous_152
4,0,5,0,0,0,0,0,5,0,5,0,0,5,4,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_153
5,6,3,6,8,2,8,4,5,2,10,7,6,5,3,0,2,4,10,2,5,3,3,3,8,8,8,4,4,4,2,2,2,0,0,0,Anomalous_154
5,4,4,5,5,2,4,5,5,1,5,3,7,5,1,2,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_155
5,2,7,6,6,2,6,5,5,2,11,0,10,10,5,1,5,2,5,4,2,5,5,5,6,6,6,1,1,1,1,1,1,0,0,0,Anomalous_156
5,1,3,4,4,3,4,4,5,2,3,1,4,4,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_157
5,5,1,5,7,2,7,4,5,2,5,4,4,7,2,0,3,3,5,4,6,3,3,3,2,2,2,3,3,3,1,1,1,0,0,0,Anomalous_158
0,4,3,5,5,2,5,0,0,3,5,1,3,5,5,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_159
5,5,2,5,5,2,5,5,5,2,5,2,3,5,3,0,4,3,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_16
0,0,8,8,11,4,11,0,0,3,6,3,10,17,9,11,0,0,0,8,0,12,12,0,0,2,2,6,6,0,0,3,3,0,0,0,Anomalous_160
5,4,3,7,11,2,10,5,5,6,11,3,8,11,4,0,5,1,11,7,6,6,6,6,6,6,6,6,6,6,2,2,2,0,0,0,Anomalous_161
5,5,5,5,5,3,5,5,5,4,4,0,6,4,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_162
5,5,2,5,6,1,5,5,5,4,5,3,4,5,2,0,5,1,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_163
0,5,6,4,4,1,5,0,0,2,5,2,10,6,3,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_164
5,6,3,5,5,0,4,5,5,1,5,2,5,5,2,0,5,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_165
5,3,4,4,4,1,4,5,5,2,3,1,6,3,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_166
0,4,4,4,5,1,4,0,0,3,4,0,3,4,2,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_167
0,5,4,5,5,3,5,0,0,3,6,3,7,5,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_168
